LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
41.86687,-111.981,UTAHDWQ_WQX-4903030,1381.88
41.90759,-112.03145,UTAHDWQ_WQX-4903180,1458.64
41.91987,-112.03778,UTAHDWQ_WQX-4903190,1466
41.92906,-112.04463,UTAHDWQ_WQX-4903200,1474.79
41.83326,-111.88439,UTAHDWQ_WQX-4903500,1345.33
41.83326,-111.88439,UTAHDWQ_WQX-4903501,1345.33
41.86968,-111.75797,UTAHDWQ_WQX-4903510,1639.6
41.63604,-111.85074,UTAHDWQ_WQX-4904100,1424.09
41.64039,-111.85017,UTAHDWQ_WQX-4904110,1410.14
41.9764,-111.75627,UTAHDWQ_WQX-4904330,1578.3
41.71889,-111.945,UTAHDWQ_WQX-4904800,1345.25
41.65243,-111.87939,UTAHDWQ_WQX-4904810,1379.7
41.67525,-111.87502,UTAHDWQ_WQX-4904870,1369.71
41.72072,-111.92731,UTAHDWQ_WQX-4904900,1345.25
41.69243,-111.91328,UTAHDWQ_WQX-4904920,1351.35
41.66798,-111.89051,UTAHDWQ_WQX-4904940,1369.65
41.69991,-111.90267,UTAHDWQ_WQX-4904965,1351.24
41.69799,-111.88105,UTAHDWQ_WQX-4904990,1351.7
41.71889,-111.945,UTAHDWQ_WQX-4905000,1345.25
41.69215,-111.94245,UTAHDWQ_WQX-4905030,1348.36
41.72049,-111.88661,UTAHDWQ_WQX-4905040,1351.43
41.74309,-111.91986,UTAHDWQ_WQX-4905137,1345.25
41.7064,-111.86222,UTAHDWQ_WQX-4905140,1360.47
41.7064,-111.86222,UTAHDWQ_WQX-4905142,1360.47
41.70604,-111.84938,UTAHDWQ_WQX-4905150,1363.54
41.71299,-111.87318,UTAHDWQ_WQX-4905158,1354.05
41.7166,-111.86077,UTAHDWQ_WQX-4905170,1360.71
41.70611,-111.8485,UTAHDWQ_WQX-4905188,1363.45
41.71591,-111.83993,UTAHDWQ_WQX-4905192,1369.36
41.72132,-111.83466,UTAHDWQ_WQX-4905195,1375.12
41.73912,-111.79577,UTAHDWQ_WQX-4905198,1412.85
41.74356,-111.7845,UTAHDWQ_WQX-4905200,1426.22
41.78021,-111.63549,UTAHDWQ_WQX-4905240,1625.21
41.8338,-111.59183,UTAHDWQ_WQX-4905270,1760.61
41.74356,-111.7845,UTAHDWQ_WQX-4905301,1426.22
41.70438,-111.85189,UTAHDWQ_WQX-4905400,1363.29
41.62659,-111.80078,UTAHDWQ_WQX-4905440,1451.06
41.63484,-111.70861,UTAHDWQ_WQX-4905450,1557.3
41.6666,-111.91744,UTAHDWQ_WQX-4905580,1352.19
41.64339,-111.91725,UTAHDWQ_WQX-4905630,1366.55
41.64339,-111.91725,UTAHDWQ_WQX-4905631,1366.55
41.63354,-111.8905,UTAHDWQ_WQX-4905650,1384.84
41.57576,-111.85439,UTAHDWQ_WQX-4905670,1446.27
41.51469,-111.81279,UTAHDWQ_WQX-4905740,1526.46
41.52966,-111.81299,UTAHDWQ_WQX-4905750,1512.98
41.8391,-111.32964,UTAHDWQ_WQX-4907100,1811.6
41.98577,-111.25631,UTAHDWQ_WQX-4907120,1834.93
41.98549,-111.41187,UTAHDWQ_WQX-4907200,1814.79
41.77716,-111.07352,UTAHDWQ_WQX-4908100,1894.74
41.59548,-111.30738,UTAHDWQ_WQX-4908140,2002.35
41.7688,-111.17409,UTAHDWQ_WQX-4908146,1950.45
41.79065,-111.21611,UTAHDWQ_WQX-4908147,2051.27
41.76834,-111.17437,UTAHDWQ_WQX-4908148,1949.4
41.70216,-111.25806,UTAHDWQ_WQX-4908160,1986.67
41.71522,-111.25659,UTAHDWQ_WQX-4908168,1986.23
41.72689,-111.2552,UTAHDWQ_WQX-4908170,1985.57
41.65411,-111.18519,UTAHDWQ_WQX-4908180,1912.9
41.58611,-111.30767,UTAHDWQ_WQX-4908190,2008.21
41.58611,-111.30767,UTAHDWQ_WQX-4908191,2008.21
41.81247,-111.17487,UTAHDWQ_WQX-4908246,1998.18
41.69642,-111.11729,UTAHDWQ_WQX-4908280,1899.21
41.69642,-111.11729,UTAHDWQ_WQX-4908281,1899.21
41.53207,-111.13214,UTAHDWQ_WQX-4908500,1916.12
41.70177,-111.84214,UTAHDWQ_WQX-4908735,1365.31
41.95797,-111.78365,UTAHDWQ_WQX-4908746,1450.06
41.89654,-111.13205,UTAHDWQ_WQX-4908747,2021.95
40.91273,-110.82962,UTAHDWQ_WQX-4909850,2527.26
41.13689,-111.82717,UTAHDWQ_WQX-4920990,1465.84
41.13689,-111.82717,UTAHDWQ_WQX-4921000,1465.84
41.11543,-111.76709,UTAHDWQ_WQX-4921133,1488.56
41.18365,-111.93931,UTAHDWQ_WQX-4922700,1481.81
41.22883,-111.99911,UTAHDWQ_WQX-4922990,1302.09
41.23579,-112.00125,UTAHDWQ_WQX-4923010,1301.03
41.23421,-111.97838,UTAHDWQ_WQX-4923177,1305.35
41.23663,-111.92912,UTAHDWQ_WQX-4923200,1342.62
41.23663,-111.92912,UTAHDWQ_WQX-4923205,1342.62
41.25328,-111.84244,UTAHDWQ_WQX-4924590,1478.72
41.3135,-111.84093,UTAHDWQ_WQX-4924650,1521.18
41.28772,-111.77717,UTAHDWQ_WQX-4924660,1501.11
41.24627,-111.76483,UTAHDWQ_WQX-4924670,1499
41.24897,-111.76161,UTAHDWQ_WQX-4924680,1500.4
41.2822,-111.6537,UTAHDWQ_WQX-4924690,1601.85
41.29716,-111.6177,UTAHDWQ_WQX-4924710,1652.7
41.31469,-111.57645,UTAHDWQ_WQX-4924760,1740.54
41.03177,-111.69077,UTAHDWQ_WQX-4924960,1541.77
40.97719,-111.67415,UTAHDWQ_WQX-4925039,1574.5
40.86911,-111.58632,UTAHDWQ_WQX-4925195,1749.96
40.81565,-111.58514,UTAHDWQ_WQX-4925218,1838.37
40.76925,-111.58368,UTAHDWQ_WQX-4925230,1887.01
40.76925,-111.58368,UTAHDWQ_WQX-4925231,1887.01
40.7596,-111.56448,UTAHDWQ_WQX-4925240,1902.69
40.75548,-111.564,UTAHDWQ_WQX-4925260,1912.21
40.72491,-111.53611,UTAHDWQ_WQX-4925320,1939.87
40.73871,-111.55612,UTAHDWQ_WQX-4925330,1928.17
40.72839,-111.53667,UTAHDWQ_WQX-4925350,1936.03
40.72298,-111.51848,UTAHDWQ_WQX-4925360,1942.41
40.72384,-111.51965,UTAHDWQ_WQX-4925410,1942.44
40.68189,-111.53409,UTAHDWQ_WQX-4925440,2022.18
41.06161,-111.72855,UTAHDWQ_WQX-4925520,1520.96
41.02455,-111.7267,UTAHDWQ_WQX-4925532,1558.9
41.04216,-111.6797,UTAHDWQ_WQX-4925540,1540.63
40.75423,-111.57035,UTAHDWQ_WQX-4925610,1923.73
40.69023,-111.54658,UTAHDWQ_WQX-4925660,2035.73
41.07032,-111.52102,UTAHDWQ_WQX-4925760,1611.29
41.17967,-111.40381,UTAHDWQ_WQX-4925900,1776.14
